Date,Team,Goals,Assists,Points,Plusminus,PIM,PPG,PPP,SHG,SHP,GWG,OTG,Shots,TOI,Shifts,Year,season,Home,toi2,toi3,toi_seconds,opponent,opp_2
2016-10-23,vs ARI,1,0,1,-1,0,1,1,0,0,0,0,7,17:19,23,2016,201617,1,17:19,17:19,1039,ARI,ARI
2016-10-26,vs BOS,0,2,2,1,0,0,0,0,0,0,0,3,18:32,26,2016,201617,1,18:32,18:32,1112,BOS,BOS
2016-10-28,@ CAR,0,0,0,0,0,0,0,0,0,0,0,1,17:18,21,2016,201617,0,17:18,17:18,1038,CAR,CAR
2016-10-30,vs TBL,1,2,3,4,0,0,0,0,0,0,0,1,15:12,23,2016,201617,1,15:12,15:12,912,TBL,TBL
2016-11-01,vs STL,0,1,1,1,0,0,0,0,0,0,0,2,16:01,23,2016,201617,1,16:01,16:01,961,STL,STL
2016-11-03,vs EDM,1,1,2,3,0,0,0,0,0,0,0,4,15:06,27,2016,201617,1,15:06,15:06,906,EDM,EDM
2016-11-05,@ BOS,0,0,0,2,0,0,0,0,0,0,0,0,14:09,26,2016,201617,0,14:09,14:09,849,BOS,BOS
2016-11-06,vs WPG,1,0,1,2,0,0,0,0,0,1,0,1,14:18,17,2016,201617,1,14:18,14:18,858,WPG,WPG
2016-11-08,vs VAN,0,0,0,-1,2,0,0,0,0,0,0,1,14:51,22,2016,201617,1,14:51,14:51,891,VAN,VAN
2016-11-12,@ CGY,0,1,1,1,0,0,0,0,0,0,0,2,14:39,20,2016,201617,0,14:39,14:39,879,CGY,CGY
2016-11-13,@ EDM,0,1,1,1,0,0,0,0,0,0,0,3,16:38,25,2016,201617,0,16:38,16:38,998,EDM,EDM
2016-11-15,@ VAN,2,0,2,2,0,0,0,0,0,0,0,4,16:13,24,2016,201617,0,16:13,16:13,973,VAN,VAN
2016-11-18,@ CBJ,0,0,0,-2,0,0,0,0,0,0,0,3,15:40,21,2016,201617,0,15:40,15:40,940,CBJ,CBJ
2016-11-20,vs FLA,0,0,0,-1,0,0,0,0,0,0,0,1,14:03,19,2016,201617,1,14:03,14:03,843,FLA,FLA
2016-11-21,@ PIT,1,0,1,0,0,0,0,1,1,1,0,4,16:13,23,2016,201617,0,16:13,16:13,973,PIT,PIT
2016-11-23,vs PIT,0,0,0,-2,0,0,0,0,0,0,0,1,16:07,22,2016,201617,1,16:07,16:07,967,PIT,PIT
2016-11-25,@ PHI,0,1,1,2,0,0,0,0,0,0,0,1,16:02,24,2016,201617,0,16:02,16:02,962,PHI,PHI
2016-11-27,vs OTT,0,0,0,0,0,0,0,0,0,0,0,5,18:24,22,2016,201617,1,18:24,18:24,1104,OTT,OTT
2016-11-29,vs CAR,0,0,0,-1,0,0,0,0,0,0,0,1,17:31,22,2016,201617,1,17:31,17:31,1051,CAR,CAR
2016-12-01,@ BUF,0,0,0,-2,0,0,0,0,0,0,0,0,15:42,18,2016,201617,0,15:42,15:42,942,BUF,BUF
2016-12-03,vs CAR,0,0,0,0,0,0,0,0,0,0,0,0,11:43,17,2016,201617,1,11:43,11:43,703,CAR,CAR
2016-12-06,@ NYI,0,1,1,1,2,0,0,0,0,0,0,1,21:42,27,2016,201617,0,21:42,21:42,1302,NYI,NYI
2016-12-08,@ WPG,0,1,1,0,0,0,0,0,0,0,0,0,17:52,25,2016,201617,0,17:52,17:52,1072,WPG,WPG
