Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
70,2023-03-20,70,35-225,PIT,,OTT,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,24,22:17,0,1,22,13,62.9
71,2023-03-22,71,35-227,PIT,@,COL,W,1,0,1,1,2,1,0,0,0,0,0,0,5,20.0,27,19:50,0,1,13,7,65.0
72,2023-03-23,72,35-228,PIT,@,DAL,L,1,0,1,1,0,1,0,0,0,0,0,0,7,14.3,25,19:10,1,0,10,12,45.5
73,2023-03-25,73,35-230,PIT,,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,27,22:37,0,1,13,16,44.8
74,2023-03-28,74,35-233,PIT,@,DET,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,25,23:31,0,3,16,16,50.0
75,2023-03-30,75,35-235,PIT,,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,9,0.0,24,20:53,0,1,14,11,56.0
76,2023-04-01,76,35-237,PIT,,BOS,L,0,1,1,3,0,0,0,0,0,1,0,0,2,0.0,23,22:14,1,2,13,13,50.0
77,2023-04-02,77,35-238,PIT,,PHI,W,0,2,2,1,2,0,0,0,0,1,1,0,3,0.0,22,21:26,1,1,12,14,46.2
78,2023-04-04,78,35-240,PIT,@,NJD,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,23,18:27,0,1,15,11,57.7
79,2023-04-06,79,35-242,PIT,,MIN,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,24,17:59,1,0,14,10,58.3
80,2023-04-08,80,35-244,PIT,@,DET,W,2,1,3,2,0,1,1,0,1,1,0,0,4,50.0,23,19:13,0,0,7,13,35.0
81,2023-04-11,81,35-247,PIT,,CHI,L,0,0,0,-2,0,0,0,0,0,0,0,0,8,0.0,23,23:09,0,0,17,11,60.7
82,2023-04-13,82,35-249,PIT,@,CBJ,L-OT,0,2,2,0,0,0,0,0,0,0,2,0,1,0.0,20,18:11,0,0,6,10,37.5
1,2021-10-30,1,34-084,PIT,,NJD,L,0,0,0,-3,0,0,0,0,0,0,0,0,2,0.0,23,19:16,2,0,8,15,34.8
2,2021-11-14,2,34-099,PIT,@,WSH,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,20,16:57,1,0,5,7,41.7
3,2021-11-16,3,34-101,PIT,,BUF,L,0,1,1,-2,0,0,0,0,0,0,1,0,2,0.0,21,18:53,1,0,6,9,40.0
4,2021-11-18,4,34-103,PIT,@,MTL,W,1,0,1,1,0,1,0,0,1,0,0,0,3,33.3,20,16:03,0,0,11,7,61.1
5,2021-11-20,5,34-105,PIT,@,TOR,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,23,17:44,1,2,4,8,33.3
6,2021-11-22,6,34-107,PIT,@,WPG,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,24,19:40,0,0,8,11,42.1
7,2021-11-24,7,34-109,PIT,,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,23,20:47,0,2,6,11,35.3
8,2021-11-26,8,34-111,PIT,@,NYI,W,0,1,1,1,0,0,0,0,0,1,0,0,4,0.0,25,18:36,0,0,4,10,28.6
9,2021-11-27,9,34-112,PIT,,MTL,L,1,2,3,-2,0,1,0,0,0,1,1,0,5,20.0,25,21:44,0,0,12,15,44.4
10,2021-11-29,10,34-114,PIT,@,CGY,L-SO,0,1,1,0,0,0,0,0,0,0,1,0,0,,27,21:06,0,1,13,13,50.0
11,2021-12-01,11,34-116,PIT,@,EDM,L,0,1,1,-4,0,0,0,0,0,1,0,0,1,0.0,22,22:03,1,0,11,6,64.7
12,2021-12-04,12,34-119,PIT,@,VAN,W,1,2,3,2,0,1,0,0,0,0,2,0,5,20.0,24,19:02,0,1,12,7,63.2
13,2021-12-06,13,34-121,PIT,@,SEA,W,1,1,2,3,0,1,0,0,1,1,0,0,3,33.3,25,14:46,0,0,12,9,57.1
14,2021-12-10,14,34-125,PIT,@,WSH,W,0,2,2,1,0,0,0,0,0,2,0,0,2,0.0,26,18:52,1,0,14,9,60.9
15,2021-12-11,15,34-126,PIT,,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,23,19:41,0,0,10,6,62.5
16,2021-12-14,16,34-129,PIT,,MTL,W,0,2,2,3,0,0,0,0,0,2,0,0,6,0.0,21,22:06,2,0,12,9,57.1
17,2021-12-17,17,34-132,PIT,,BUF,W,0,1,1,0,0,0,0,0,0,0,1,0,3,0.0,26,20:53,1,0,10,10,50.0
18,2021-12-19,18,34-134,PIT,@,NJD,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,25,20:56,0,0,7,10,41.2
