Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
49,2023-01-27,49,21-258,NJD,@,DAL,W,2,0,2,2,0,2,0,0,1,0,0,0,4,50.0,23,19:31,0,2,3,8,27.3
50,2023-02-06,50,21-268,NJD,,VAN,W,2,1,3,-1,0,2,0,0,0,0,1,0,9,22.2,23,21:44,0,0,0,5,0.0
51,2023-02-18,51,21-280,NJD,@,PIT,W,0,2,2,0,0,0,0,0,0,1,1,0,3,0.0,21,17:30,0,0,3,6,33.3
52,2023-02-19,52,21-281,NJD,,WPG,W,0,0,0,-1,0,0,0,0,0,0,0,0,5,0.0,19,19:08,0,0,4,5,44.4
53,2023-02-21,53,21-283,NJD,,MTL,L,0,2,2,-2,0,0,0,0,0,1,1,0,4,0.0,23,20:30,0,0,4,5,44.4
54,2023-02-23,54,21-285,NJD,,LAK,W,0,1,1,0,0,0,0,0,0,1,0,0,5,0.0,25,22:50,0,0,5,4,55.6
55,2023-02-25,55,21-287,NJD,,PHI,W,1,1,2,2,0,1,0,0,0,1,0,0,4,25.0,17,16:43,0,1,2,5,28.6
56,2023-03-01,56,21-291,NJD,@,COL,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,22,15:57,0,1,3,5,37.5
57,2023-03-03,57,21-293,NJD,@,VEG,L-SO,0,1,1,-2,0,0,0,0,0,0,1,0,6,0.0,26,21:52,0,0,6,5,54.5
58,2023-03-05,58,21-295,NJD,@,ARI,W,0,1,1,-1,0,0,0,0,0,1,0,0,3,0.0,22,18:02,0,2,3,5,37.5
59,2023-03-07,59,21-297,NJD,,TOR,L,0,0,0,-2,0,0,0,0,0,0,0,0,6,0.0,23,22:53,0,1,3,9,25.0
60,2023-03-09,60,21-299,NJD,@,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,24,22:56,0,0,6,8,42.9
61,2023-03-11,61,21-301,NJD,@,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,18:48,0,1,3,9,25.0
62,2023-03-12,62,21-302,NJD,,CAR,W,1,2,3,3,0,1,0,0,1,2,0,0,4,25.0,20,16:46,0,1,2,5,28.6
63,2023-03-14,63,21-304,NJD,,TBL,L,0,1,1,-2,0,0,0,0,0,1,0,0,2,0.0,20,19:00,0,0,7,4,63.6
64,2023-03-16,64,21-306,NJD,,TBL,L-SO,0,1,1,0,0,0,0,0,0,0,1,0,6,0.0,27,24:38,0,2,3,9,25.0
65,2023-03-18,65,21-308,NJD,@,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,20,19:25,0,0,1,6,14.3
66,2023-03-19,66,21-309,NJD,@,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,18,16:02,0,0,1,0,100.0
67,2023-03-21,67,21-311,NJD,,MIN,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,10,0.0,24,23:32,0,0,0,1,0.0
68,2023-03-24,68,21-314,NJD,@,BUF,L,2,1,3,-1,0,1,1,0,0,1,0,0,4,50.0,22,20:08,0,0,0,5,0.0
69,2023-03-25,69,21-315,NJD,,OTT,W,1,1,2,2,0,0,1,0,0,1,0,0,6,16.7,25,19:11,0,2,5,10,33.3
70,2023-03-27,70,21-317,NJD,@,NYI,L,0,0,0,-3,2,0,0,0,0,0,0,0,4,0.0,24,22:01,0,5,2,2,50.0
71,2023-03-30,71,21-320,NJD,,NYR,W,0,1,1,0,0,0,0,0,0,0,1,0,3,0.0,18,17:25,0,0,1,5,16.7
72,2023-04-01,72,21-322,NJD,@,CHI,W,0,2,2,2,0,0,0,0,0,2,0,0,2,0.0,22,17:42,0,0,5,4,55.6
73,2023-04-02,73,21-323,NJD,@,WPG,L,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,21,20:37,0,1,2,6,25.0
74,2023-04-04,74,21-325,NJD,,PIT,W,0,1,1,1,0,0,0,0,0,0,1,0,4,0.0,20,17:07,0,0,5,1,83.3
75,2023-04-06,75,21-327,NJD,,CBJ,W,2,2,4,1,0,1,1,0,0,1,1,0,3,66.7,18,14:26,0,0,3,3,50.0
76,2023-04-08,76,21-329,NJD,@,BOS,L,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,27,22:56,0,0,2,12,14.3
77,2023-04-11,77,21-332,NJD,,BUF,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,23,19:58,0,0,7,6,53.8
78,2023-04-13,78,21-334,NJD,@,WSH,W,0,2,2,0,0,0,0,0,0,2,0,0,5,0.0,23,20:58,1,0,1,4,20.0
1,2021-10-15,1,20-154,NJD,,CHI,W,2,0,2,1,0,2,0,0,1,0,0,0,3,66.7,22,18:31,0,0,4,7,36.4
2,2021-10-19,2,20-158,NJD,,SEA,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,10,7:42,0,0,2,1,66.7
3,2021-11-30,3,20-200,NJD,,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,17:31,0,1,0,0,
4,2021-12-02,4,20-202,NJD,@,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,17:46,0,0,0,0,
5,2021-12-03,5,20-203,NJD,@,WPG,L,1,0,1,-2,0,1,0,0,0,0,0,0,1,100.0,18,14:44,0,1,0,3,0.0
6,2021-12-06,6,20-206,NJD,,OTT,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,17:48,0,0,1,6,14.3
7,2021-12-08,7,20-208,NJD,,PHI,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,23,18:12,0,0,1,9,10.0
8,2021-12-10,8,20-210,NJD,,NSH,L,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,23,20:51,1,0,6,5,54.5
9,2021-12-11,9,20-211,NJD,@,NYI,L,1,0,1,-1,0,1,0,0,0,0,0,0,3,33.3,26,25:17,0,0,1,4,20.0
10,2021-12-14,10,20-214,NJD,@,PHI,L,0,0,0,-4,0,0,0,0,0,0,0,0,2,0.0,19,17:05,0,1,0,1,0.0
11,2021-12-16,11,20-216,NJD,,VEG,L,1,0,1,-1,0,1,0,0,0,0,0,0,4,25.0,22,18:38,0,0,4,2,66.7
12,2021-12-18,12,20-218,NJD,@,DET,L,0,0,0,-4,0,0,0,0,0,0,0,0,4,0.0,24,20:45,0,1,0,2,0.0
13,2021-12-19,13,20-219,NJD,,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,18:32,0,0,0,5,0.0
14,2021-12-29,14,20-229,NJD,@,BUF,W,1,2,3,3,0,1,0,0,0,1,1,0,6,16.7,21,17:52,0,0,1,3,25.0
15,2021-12-31,15,20-231,NJD,,EDM,W,2,1,3,0,0,1,1,0,1,1,0,0,7,28.6,27,19:40,0,2,3,10,23.1
16,2022-01-02,16,20-233,NJD,@,WSH,W,0,2,2,2,0,0,0,0,0,2,0,0,1,0.0,24,20:17,0,0,5,10,33.3
17,2022-01-04,17,20-235,NJD,@,BOS,L,0,1,1,0,0,0,0,0,0,1,0,0,4,0.0,27,20:10,1,1,8,12,40.0
18,2022-01-06,18,20-237,NJD,,CBJ,W,1,2,3,2,0,1,0,0,0,1,1,0,3,33.3,24,19:00,0,1,6,6,50.0
19,2022-01-08,19,20-239,NJD,@,CBJ,L,0,0,0,-1,0,0,0,0,0,0,0,0,5,0.0,27,25:43,0,0,3,9,25.0
20,2022-01-13,20,20-244,NJD,@,NYI,L,0,0,0,-1,0,0,0,0,0,0,0,0,5,0.0,25,20:36,0,1,1,4,20.0
21,2022-01-19,21,20-250,NJD,,ARI,L,0,1,1,-1,0,0,0,0,0,0,1,0,3,0.0,24,21:04,0,0,5,11,31.3
22,2022-01-22,22,20-253,NJD,,CAR,W,1,0,1,-2,0,0,1,0,0,0,0,0,5,20.0,20,15:32,0,0,2,10,16.7
23,2022-01-23,23,20-254,NJD,,LAK,L,0,1,1,-2,0,0,0,0,0,0,1,0,3,0.0,20,18:09,0,0,2,4,33.3
24,2022-01-25,24,20-256,NJD,,DAL,L,0,1,1,-1,0,0,0,0,0,0,1,0,7,0.0,21,19:54,0,0,3,12,20.0
25,2022-01-27,25,20-258,NJD,@,TBL,L,1,0,1,-1,0,1,0,0,0,0,0,0,5,20.0,23,20:48,0,0,2,5,28.6
26,2022-01-29,26,20-260,NJD,@,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,24,19:52,0,0,3,5,37.5
27,2022-01-31,27,20-262,NJD,@,TOR,L,0,1,1,-1,0,0,0,0,0,1,0,0,4,0.0,22,20:22,0,1,2,5,28.6
28,2022-02-01,28,20-263,NJD,,TOR,L,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,20,18:51,0,0,2,5,28.6
29,2022-02-13,29,20-275,NJD,,PIT,L,1,0,1,-1,0,1,0,0,0,0,0,0,5,20.0,21,19:46,1,2,1,3,25.0
30,2022-02-15,30,20-277,NJD,,TBL,L,1,1,2,0,0,1,0,0,0,1,0,0,4,25.0,23,20:35,0,0,1,6,14.3
31,2022-02-24,31,20-286,NJD,@,PIT,W,0,3,3,2,0,0,0,0,0,1,2,0,2,0.0,20,16:43,0,0,1,3,25.0
32,2022-02-25,32,20-287,NJD,@,CHI,L,1,2,3,0,0,1,0,0,0,2,0,0,5,20.0,22,19:23,1,0,8,2,80.0
33,2022-02-28,33,20-290,NJD,,VAN,W,1,1,2,1,0,1,0,0,0,1,0,0,2,50.0,19,17:08,0,0,1,2,33.3
34,2022-03-01,34,20-291,NJD,@,CBJ,L,1,0,1,-1,0,0,1,0,0,0,0,0,5,20.0,27,22:56,0,0,1,3,25.0
35,2022-03-04,35,20-294,NJD,@,NYR,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,24,20:47,0,0,1,5,16.7
