Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
75,2024-04-13,75,25-166,COL,,WPG,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,27,25:29,1,0,0,0,
76,2024-04-14,76,25-167,COL,@,VEG,L-OT,1,1,2,1,0,1,0,0,0,1,0,0,1,100.0,32,24:40,0,8,0,0,
77,2024-04-18,77,25-171,COL,,EDM,W,0,1,1,1,0,0,0,0,0,0,1,0,3,0.0,22,21:00,0,2,0,0,
1,2022-10-12,1,23-347,COL,,CHI,W,0,2,2,1,0,0,0,0,0,0,2,0,4,0.0,23,24:06,1,1,0,0,
2,2022-10-13,2,23-348,COL,@,CGY,L,0,0,0,-1,4,0,0,0,0,0,0,0,2,0.0,26,26:39,0,2,0,0,
3,2022-10-17,3,23-352,COL,@,MIN,W,0,2,2,1,0,0,0,0,0,1,1,0,2,0.0,28,26:40,3,1,0,0,
4,2022-10-19,4,23-354,COL,,WPG,L-OT,0,1,1,-1,0,0,0,0,0,0,1,0,2,0.0,29,24:59,1,3,0,0,
5,2022-10-21,5,23-356,COL,,SEA,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,27,28:30,3,2,0,0,
6,2022-10-22,6,23-357,COL,@,VEG,W,0,1,1,0,0,0,0,0,0,0,1,0,3,0.0,32,25:46,2,1,0,0,
7,2022-10-25,7,23-360,COL,@,NYR,W,0,1,1,-1,0,0,0,0,0,0,1,0,2,0.0,28,26:54,0,2,0,0,
8,2022-10-28,8,23-363,COL,@,NJD,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,25,25:49,3,2,0,0,
9,2022-10-29,9,23-364,COL,@,NYI,L,0,1,1,0,0,0,0,0,0,1,0,0,4,0.0,28,28:02,1,3,0,0,
10,2022-11-04,10,24-005,COL,,CBJ,W,1,1,2,2,0,1,0,0,0,0,1,0,6,16.7,30,26:49,1,4,0,0,
11,2022-11-05,11,24-006,COL,@,CBJ,W,0,3,3,4,0,0,0,0,0,3,0,0,4,0.0,27,21:45,1,1,0,0,
12,2022-11-10,12,24-011,COL,,NSH,W,0,1,1,1,0,0,0,0,0,0,1,0,2,0.0,26,27:27,2,3,0,0,
13,2022-11-12,13,24-013,COL,,CAR,W,2,0,2,2,2,1,1,0,1,0,0,0,2,100.0,28,26:53,0,1,0,0,
14,2022-11-14,14,24-015,COL,,STL,L,0,2,2,-1,0,0,0,0,0,1,1,0,4,0.0,28,29:06,2,1,0,0,
15,2022-11-17,15,24-018,COL,@,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,31,32:48,2,1,0,0,
16,2022-11-19,16,24-020,COL,@,WSH,W,1,0,1,1,0,0,1,0,1,0,0,0,2,50.0,24,24:43,0,1,0,0,
17,2022-11-21,17,24-022,COL,@,DAL,W,1,0,1,-2,0,0,1,0,0,0,0,0,2,50.0,28,32:17,0,2,0,0,
18,2022-11-23,18,24-024,COL,,VAN,L,1,0,1,-2,4,0,1,0,0,0,0,0,5,20.0,28,27:32,1,2,0,0,
19,2022-11-26,19,24-027,COL,,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,28,26:21,2,0,0,0,
20,2022-11-29,20,24-030,COL,@,WPG,L,0,0,0,-2,2,0,0,0,0,0,0,0,4,0.0,24,21:55,0,0,0,0,
21,2022-12-01,21,24-032,COL,@,BUF,W,0,2,2,0,0,0,0,0,0,1,1,0,6,0.0,23,30:38,1,0,0,0,
22,2022-12-03,22,24-034,COL,@,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,27,26:37,2,2,0,0,
23,2022-12-05,23,24-036,COL,@,PHI,L,0,1,1,-1,2,0,0,0,0,0,1,0,2,0.0,25,28:53,1,0,0,0,
24,2022-12-07,24,24-038,COL,,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,27,24:59,1,1,0,0,
25,2022-12-09,25,24-040,COL,,NYR,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,8,0.0,32,28:25,2,2,0,0,
26,2022-12-11,26,24-042,COL,@,STL,W,0,1,1,1,4,0,0,0,0,1,0,0,6,0.0,26,26:13,1,1,0,0,
27,2022-12-13,27,24-044,COL,,PHI,W,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,28,25:59,0,1,0,0,
28,2022-12-15,28,24-046,COL,,BUF,L,0,1,1,-1,2,0,0,0,0,1,0,0,4,0.0,28,28:45,1,0,0,0,
29,2022-12-17,29,24-048,COL,,NSH,W,1,1,2,1,0,1,0,0,0,0,1,0,7,14.3,25,26:01,3,1,0,0,
30,2022-12-19,30,24-050,COL,,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,30,31:48,5,3,0,0,
31,2022-12-21,31,24-052,COL,,MTL,W,0,1,1,0,0,0,0,0,0,0,1,0,4,0.0,28,26:58,1,2,0,0,
32,2022-12-23,32,24-054,COL,@,NSH,W,0,0,0,1,0,0,0,0,0,0,0,0,5,0.0,28,30:08,0,3,0,0,
33,2022-12-27,33,24-058,COL,@,ARI,L,1,1,2,-1,0,1,0,0,0,0,1,0,4,25.0,30,25:45,0,0,0,0,
34,2022-12-29,34,24-060,COL,,LAK,L-SO,1,2,3,3,0,1,0,0,0,2,0,0,4,25.0,30,27:51,2,0,0,0,
35,2022-12-31,35,24-062,COL,,TOR,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,30,25:35,3,0,0,0,
36,2023-01-02,36,24-064,COL,,VEG,L,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,29,27:54,2,0,0,0,
37,2023-01-05,37,24-067,COL,@,VAN,L,0,1,1,-2,2,0,0,0,0,0,1,0,1,0.0,27,30:17,1,2,0,0,
38,2023-01-07,38,24-069,COL,@,EDM,W,1,1,2,3,0,1,0,0,1,1,0,0,2,50.0,31,33:09,0,0,0,0,
39,2023-01-10,39,24-072,COL,,FLA,L,0,1,1,0,0,0,0,0,0,1,0,0,4,0.0,30,30:39,2,2,0,0,
40,2023-01-12,40,24-074,COL,@,CHI,L,1,0,1,0,0,1,0,0,0,0,0,0,4,25.0,31,27:31,1,1,0,0,
41,2023-01-14,41,24-076,COL,,OTT,W,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,24,21:50,0,3,0,0,
42,2023-01-16,42,24-078,COL,,DET,W,2,1,3,3,0,1,1,0,0,1,0,0,5,40.0,20,19:39,0,1,0,0,
43,2023-01-26,43,24-088,COL,,ANA,L,0,1,1,-2,0,0,0,0,0,1,0,0,2,0.0,27,26:12,0,1,0,0,
44,2023-01-28,44,24-090,COL,,STL,W,0,1,1,2,0,0,0,0,0,1,0,0,1,0.0,28,26:44,3,1,0,0,
45,2023-02-07,45,24-100,COL,@,PIT,L-OT,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,25,24:21,1,1,0,0,
46,2023-02-18,46,24-111,COL,@,STL,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,23,21:27,1,0,0,0,
47,2023-03-04,47,24-125,COL,@,DAL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,25,22:27,0,2,0,0,
48,2023-03-05,48,24-126,COL,,SEA,L-OT,0,1,1,1,2,0,0,0,0,1,0,0,2,0.0,29,23:40,1,3,0,0,
49,2023-03-07,49,24-128,COL,,SJS,W,1,3,4,5,0,1,0,0,1,3,0,0,5,20.0,23,22:57,0,1,0,0,
50,2023-03-09,50,24-130,COL,,LAK,L,0,1,1,-3,0,0,0,0,0,0,1,0,2,0.0,29,25:55,0,2,0,0,
51,2023-03-11,51,24-132,COL,,ARI,W,1,0,1,0,0,1,0,0,1,0,0,0,5,20.0,29,26:10,0,1,0,0,
52,2023-03-13,52,24-134,COL,@,MTL,W,0,3,3,2,0,0,0,0,0,0,3,0,0,,25,23:37,0,2,0,0,
53,2023-03-15,53,24-136,COL,@,TOR,W,0,1,1,0,0,0,0,0,0,0,1,0,4,0.0,32,30:34,1,0,0,0,
54,2023-03-16,54,24-137,COL,@,OTT,W,1,1,2,2,0,1,0,0,0,0,1,0,1,100.0,28,27:03,1,1,0,0,
55,2023-03-18,55,24-139,COL,@,DET,W,0,3,3,3,0,0,0,0,0,2,1,0,1,0.0,23,21:45,1,3,0,0,
56,2023-03-24,56,24-145,COL,,ARI,W,1,2,3,1,0,1,0,0,1,0,2,0,2,50.0,27,25:14,0,0,0,0,
57,2023-03-26,57,24-147,COL,@,ARI,W,0,0,0,-1,2,0,0,0,0,0,0,0,3,0.0,28,23:43,1,1,0,0,
58,2023-03-27,58,24-148,COL,@,ANA,W,0,2,2,1,0,0,0,0,0,2,0,0,4,0.0,22,22:14,0,0,0,0,
59,2023-03-29,59,24-150,COL,,MIN,L,0,0,0,-3,0,0,0,0,0,0,0,0,3,0.0,24,24:53,0,1,0,0,
60,2023-04-01,60,24-153,COL,,DAL,W,0,0,0,3,0,0,0,0,0,0,0,0,1,0.0,27,23:18,1,0,0,0,
1,2021-10-13,1,22-348,COL,,CHI,W,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,27,22:31,1,1,0,0,
2,2021-10-16,2,22-351,COL,,STL,L,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,27,26:13,1,1,0,0,
3,2021-10-19,3,22-354,COL,@,WSH,L,0,0,0,-5,0,0,0,0,0,0,0,0,3,0.0,25,22:23,0,2,0,0,
4,2021-10-21,4,22-356,COL,@,FLA,L,0,0,0,-3,2,0,0,0,0,0,0,0,2,0.0,28,24:07,0,0,0,0,
5,2021-10-23,5,22-358,COL,@,TBL,W,0,2,2,1,0,0,0,0,0,1,1,0,1,0.0,34,28:29,3,0,0,0,
6,2021-10-26,6,22-361,COL,,VEG,L,1,0,1,-1,0,1,0,0,0,0,0,0,2,50.0,32,26:07,3,1,0,0,
7,2021-10-28,7,22-363,COL,@,STL,W,1,1,2,-1,0,1,0,0,1,0,1,0,3,33.3,31,25:14,0,0,0,0,
8,2021-10-30,8,23-000,COL,,MIN,W,0,0,0,2,0,0,0,0,0,0,0,0,1,0.0,26,24:59,1,1,0,0,
9,2021-11-11,9,23-012,COL,,VAN,W,0,2,2,1,0,0,0,0,0,1,1,0,0,,26,22:42,0,1,0,0,
10,2021-11-13,10,23-014,COL,,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,25,21:40,0,0,0,0,
11,2021-11-17,11,23-018,COL,@,VAN,W,1,1,2,0,0,0,1,0,1,0,1,0,4,25.0,27,24:21,2,1,0,0,
12,2021-11-19,12,23-020,COL,@,SEA,W,2,1,3,3,0,2,0,0,0,0,1,0,6,33.3,29,20:09,0,1,0,0,
13,2021-11-22,13,23-023,COL,,OTT,W,2,0,2,2,0,2,0,0,0,0,0,0,9,22.2,27,24:03,2,2,0,0,
14,2021-11-24,14,23-025,COL,,ANA,W,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,27,21:39,3,2,0,0,
15,2021-11-26,15,23-027,COL,@,DAL,L,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,27,27:52,2,3,0,0,
