Date,Team,Goals,Assists,Points,Plusminus,PIM,PPG,PPP,SHG,SHP,GWG,OTG,Shots,TOI,Shifts,Year,season,Home,toi2,toi3,toi_seconds,opponent,opp_2
2024-03-23,vs STL,0,2,2,1,0,0,0,0,0,0,0,5,24:59,26,2024,202324,1,24:59,24:59,1499,STL,STL
2024-03-28,vs SJS,0,2,2,3,0,0,0,0,0,0,0,2,21:52,19,2024,202324,1,21:52,21:52,1312,SJS,SJS
2024-03-30,vs VEG,1,0,1,-1,0,1,1,0,0,0,0,4,22:40,23,2024,202324,1,22:40,22:40,1360,VEG,VEG
2024-04-02,vs OTT,0,1,1,1,0,0,0,0,0,0,0,2,23:03,21,2024,202324,1,23:03,23:03,1383,OTT,OTT
2024-04-04,vs COL,0,1,1,-2,2,0,0,0,0,0,0,4,24:45,20,2024,202324,1,24:45,24:45,1485,COL,COL
2024-04-06,vs WPG,2,0,2,0,2,1,1,0,0,0,0,5,24:17,19,2024,202324,1,24:17,24:17,1457,WPG,WPG
2024-04-07,@ CHI,2,1,3,2,0,1,1,0,0,1,0,4,24:01,19,2024,202324,0,24:01,24:01,1441,CHI,CHI
2024-04-09,@ COL,1,0,1,-4,2,1,1,0,0,0,0,4,25:45,23,2024,202324,0,25:45,25:45,1545,COL,COL
2024-04-12,@ VEG,0,0,0,0,0,0,0,0,0,0,0,5,19:23,22,2024,202324,0,19:23,19:23,1163,VEG,VEG
2024-04-13,@ SJS,2,1,3,1,2,1,1,0,0,0,0,6,24:25,22,2024,202324,0,24:25,24:25,1465,SJS,SJS
2024-04-15,@ LAK,1,1,2,1,0,0,0,0,0,0,0,5,24:25,25,2024,202324,0,24:25,24:25,1465,LAK,LAK
2024-04-18,vs SEA,1,0,1,-1,0,1,1,0,0,0,0,6,23:04,21,2024,202324,1,23:04,23:04,1384,SEA,SEA
2022-10-13,vs NYR,0,1,1,-4,2,0,0,0,0,0,0,4,21:06,18,2022,202223,1,21:06,21:06,1266,NYR,NYR
2022-10-15,vs LAK,1,1,2,-1,2,1,1,0,0,0,0,4,22:26,21,2022,202223,1,22:26,22:26,1346,LAK,LAK
2022-10-17,vs COL,2,0,2,-3,0,1,1,0,0,0,0,5,22:49,20,2022,202223,1,22:49,22:49,1369,COL,COL
2022-10-20,vs VAN,1,2,3,1,0,0,0,0,0,1,0,7,24:09,24,2022,202223,1,24:09,24:09,1449,VAN,VAN
2022-10-22,@ BOS,0,0,0,1,2,0,0,0,0,0,0,1,21:36,21,2022,202223,0,21:36,21:36,1296,BOS,BOS
2022-10-25,@ MTL,0,0,0,0,0,0,0,0,0,0,0,2,20:26,18,2022,202223,0,20:26,20:26,1226,MTL,MTL
2022-10-27,@ OTT,1,1,2,1,0,0,0,0,0,0,0,4,18:50,20,2022,202223,0,18:50,18:50,1130,OTT,OTT
2022-10-29,@ DET,1,0,1,0,0,0,0,0,0,0,0,5,19:46,20,2022,202223,0,19:46,19:46,1186,DET,DET
