Date,Team,Goals,Assists,Points,Plusminus,PIM,PPG,PPP,SHG,SHP,GWG,OTG,Shots,TOI,Shifts,Year,season,Home,toi2,toi3,toi_seconds,opponent,opp_2
2024-03-16,@ EDM,0,1,1,2,0,0,0,0,0,0,0,3,27:31,31,2024,202324,0,27:31,27:31,1651,EDM,EDM
2024-03-19,@ STL,0,1,1,-2,0,0,0,0,0,0,0,3,21:29,23,2024,202324,0,21:29,21:29,1289,STL,STL
2024-03-22,vs CBJ,1,1,2,3,0,0,0,0,0,0,0,5,21:39,24,2024,202324,1,21:39,21:39,1299,CBJ,CBJ
2024-03-24,vs PIT,0,1,1,0,0,0,0,0,0,0,0,1,25:10,28,2024,202324,1,25:10,25:10,1510,PIT,PIT
2024-03-26,vs MTL,0,0,0,0,0,0,0,0,0,0,0,2,26:41,22,2024,202324,1,26:41,26:41,1601,MTL,MTL
2024-03-28,vs NYR,0,0,0,1,0,0,0,0,0,0,0,3,26:42,27,2024,202324,1,26:42,26:42,1602,NYR,NYR
2024-03-30,vs NSH,1,2,3,-2,0,1,1,0,0,0,0,4,21:42,21,2024,202324,1,21:42,21:42,1302,NSH,NSH
2024-04-01,@ CBJ,0,0,0,-2,0,0,0,0,0,0,0,6,25:40,23,2024,202324,0,25:40,25:40,1540,CBJ,CBJ
2024-04-04,@ MIN,0,1,1,2,0,0,0,0,0,0,0,4,23:20,23,2024,202324,0,23:20,23:20,1400,MIN,MIN
2024-04-05,@ EDM,0,1,1,-2,0,0,0,0,0,0,0,0,21:32,23,2024,202324,0,21:32,21:32,1292,EDM,EDM
2024-04-07,vs DAL,0,1,1,0,2,0,0,0,0,0,0,1,26:09,25,2024,202324,1,26:09,26:09,1569,DAL,DAL
2024-04-09,vs MIN,1,2,3,2,0,0,0,0,0,1,0,5,22:13,23,2024,202324,1,22:13,22:13,1333,MIN,MIN
2024-04-13,vs WPG,0,0,0,-2,0,0,0,0,0,0,0,2,25:29,27,2024,202324,1,25:29,25:29,1529,WPG,WPG
2024-04-14,@ VEG,1,1,2,1,0,0,0,0,0,0,0,1,24:40,32,2024,202324,0,24:40,24:40,1480,VEG,VEG
2024-04-18,vs EDM,0,1,1,1,0,0,0,0,0,0,0,3,21:00,22,2024,202324,1,21:00,21:00,1260,EDM,EDM
2022-10-12,vs CHI,0,2,2,1,0,0,0,0,0,0,0,4,24:06,23,2022,202223,1,24:06,24:06,1446,CHI,CHI
2022-10-13,@ CGY,0,0,0,-1,4,0,0,0,0,0,0,2,26:39,26,2022,202223,0,26:39,26:39,1599,CGY,CGY
2022-10-17,@ MIN,0,2,2,1,0,0,0,0,0,0,0,2,26:40,28,2022,202223,0,26:40,26:40,1600,MIN,MIN
2022-10-19,vs WPG,0,1,1,-1,0,0,0,0,0,0,0,2,24:59,29,2022,202223,1,24:59,24:59,1499,WPG,WPG
2022-10-21,vs SEA,0,0,0,1,0,0,0,0,0,0,0,0,28:30,27,2022,202223,1,28:30,28:30,1710,SEA,SEA
2022-10-22,@ VEG,0,1,1,0,0,0,0,0,0,0,0,3,25:46,32,2022,202223,0,25:46,25:46,1546,VEG,VEG
2022-10-25,@ NYR,0,1,1,-1,0,0,0,0,0,0,0,2,26:54,28,2022,202223,0,26:54,26:54,1614,NYR,NYR
2022-10-28,@ NJD,0,0,0,0,0,0,0,0,0,0,0,2,25:49,25,2022,202223,0,25:49,25:49,1549,NJD,NJD
2022-10-29,@ NYI,0,1,1,0,0,0,0,0,0,0,0,4,28:02,28,2022,202223,0,28:02,28:02,1682,NYI,NYI
2022-11-04,vs CBJ,1,1,2,2,0,0,0,0,0,0,0,6,26:49,30,2022,202223,1,26:49,26:49,1609,CBJ,CBJ
2022-11-05,@ CBJ,0,3,3,4,0,0,0,0,0,0,0,4,21:45,27,2022,202223,0,21:45,21:45,1305,CBJ,CBJ
2022-11-10,vs NSH,0,1,1,1,0,0,0,0,0,0,0,2,27:27,26,2022,202223,1,27:27,27:27,1647,NSH,NSH
2022-11-12,vs CAR,2,0,2,2,2,1,1,0,0,1,0,2,26:53,28,2022,202223,1,26:53,26:53,1613,CAR,CAR
2022-11-14,vs STL,0,2,2,-1,0,0,0,0,0,0,0,4,29:06,28,2022,202223,1,29:06,29:06,1746,STL,STL
2022-11-17,@ CAR,0,0,0,0,0,0,0,0,0,0,0,1,32:48,31,2022,202223,0,32:48,32:48,1968,CAR,CAR
2022-11-19,@ WSH,1,0,1,1,0,1,1,0,0,1,0,2,24:43,24,2022,202223,0,24:43,24:43,1483,WSH,WSH
2022-11-21,@ DAL,1,0,1,-2,0,1,1,0,0,0,0,2,32:17,28,2022,202223,0,32:17,32:17,1937,DAL,DAL
2022-11-23,vs VAN,1,0,1,-2,4,1,1,0,0,0,0,5,27:32,28,2022,202223,1,27:32,27:32,1652,VAN,VAN
2022-11-26,vs DAL,0,0,0,0,0,0,0,0,0,0,0,2,26:21,28,2022,202223,1,26:21,26:21,1581,DAL,DAL
2022-11-29,@ WPG,0,0,0,-2,2,0,0,0,0,0,0,4,21:55,24,2022,202223,0,21:55,21:55,1315,WPG,WPG
2022-12-01,@ BUF,0,2,2,0,0,0,0,0,0,0,0,6,30:38,23,2022,202223,0,30:38,30:38,1838,BUF,BUF
2022-12-03,@ BOS,0,0,0,-1,0,0,0,0,0,0,0,1,26:37,27,2022,202223,0,26:37,26:37,1597,BOS,BOS
2022-12-05,@ PHI,0,1,1,-1,2,0,0,0,0,0,0,2,28:53,25,2022,202223,0,28:53,28:53,1733,PHI,PHI
2022-12-07,vs BOS,0,0,0,0,0,0,0,0,0,0,0,3,24:59,27,2022,202223,1,24:59,24:59,1499,BOS,BOS
2022-12-09,vs NYR,0,0,0,1,0,0,0,0,0,0,0,8,28:25,32,2022,202223,1,28:25,28:25,1705,NYR,NYR
2022-12-11,@ STL,0,1,1,1,4,0,0,0,0,0,0,6,26:13,26,2022,202223,0,26:13,26:13,1573,STL,STL
2022-12-13,vs PHI,0,0,0,-1,2,0,0,0,0,0,0,2,25:59,28,2022,202223,1,25:59,25:59,1559,PHI,PHI
2022-12-15,vs BUF,0,1,1,-1,2,0,0,0,0,0,0,4,28:45,28,2022,202223,1,28:45,28:45,1725,BUF,BUF
2022-12-17,vs NSH,1,1,2,1,0,0,0,0,0,0,0,7,26:01,25,2022,202223,1,26:01,26:01,1561,NSH,NSH
2022-12-19,vs NYI,0,0,0,0,0,0,0,0,0,0,0,4,31:48,30,2022,202223,1,31:48,31:48,1908,NYI,NYI
2022-12-21,vs MTL,0,1,1,0,0,0,0,0,0,0,0,4,26:58,28,2022,202223,1,26:58,26:58,1618,MTL,MTL
2022-12-23,@ NSH,0,0,0,1,0,0,0,0,0,0,0,5,30:08,28,2022,202223,0,30:08,30:08,1808,NSH,NSH
2022-12-27,@ ARI,1,1,2,-1,0,0,0,0,0,0,0,4,25:45,30,2022,202223,0,25:45,25:45,1545,ARI,ARI
2022-12-29,vs LAK,1,2,3,3,0,0,0,0,0,0,0,4,27:51,30,2022,202223,1,27:51,27:51,1671,LAK,LAK
2022-12-31,vs TOR,0,0,0,-2,0,0,0,0,0,0,0,1,25:35,30,2022,202223,1,25:35,25:35,1535,TOR,TOR
2023-01-02,vs VEG,0,0,0,0,2,0,0,0,0,0,0,2,27:54,29,2023,202223,1,27:54,27:54,1674,VEG,VEG
2023-01-05,@ VAN,0,1,1,-2,2,0,0,0,0,0,0,1,30:17,27,2023,202223,0,30:17,30:17,1817,VAN,VAN
2023-01-07,@ EDM,1,1,2,3,0,0,0,0,0,1,0,2,33:09,31,2023,202223,0,33:09,33:09,1989,EDM,EDM
2023-01-10,vs FLA,0,1,1,0,0,0,0,0,0,0,0,4,30:39,30,2023,202223,1,30:39,30:39,1839,FLA,FLA
2023-01-12,@ CHI,1,0,1,0,0,0,0,0,0,0,0,4,27:31,31,2023,202223,0,27:31,27:31,1651,CHI,CHI
2023-01-14,vs OTT,0,1,1,0,0,0,0,0,0,0,0,2,21:50,24,2023,202223,1,21:50,21:50,1310,OTT,OTT
2023-01-16,vs DET,2,1,3,3,0,1,1,0,0,0,0,5,19:39,20,2023,202223,1,19:39,19:39,1179,DET,DET
2023-01-26,vs ANA,0,1,1,-2,0,0,0,0,0,0,0,2,26:12,27,2023,202223,1,26:12,26:12,1572,ANA,ANA
2023-01-28,vs STL,0,1,1,2,0,0,0,0,0,0,0,1,26:44,28,2023,202223,1,26:44,26:44,1604,STL,STL
2023-02-07,@ PIT,0,0,0,-2,0,0,0,0,0,0,0,2,24:21,25,2023,202223,0,24:21,24:21,1461,PIT,PIT
2023-02-18,@ STL,0,0,0,1,0,0,0,0,0,0,0,1,21:27,23,2023,202223,0,21:27,21:27,1287,STL,STL
2023-03-04,@ DAL,0,0,0,-1,0,0,0,0,0,0,0,1,22:27,25,2023,202223,0,22:27,22:27,1347,DAL,DAL
2023-03-05,vs SEA,0,1,1,1,2,0,0,0,0,0,0,2,23:40,29,2023,202223,1,23:40,23:40,1420,SEA,SEA
2023-03-07,vs SJS,1,3,4,5,0,0,0,0,0,1,0,5,22:57,23,2023,202223,1,22:57,22:57,1377,SJS,SJS
2023-03-09,vs LAK,0,1,1,-3,0,0,0,0,0,0,0,2,25:55,29,2023,202223,1,25:55,25:55,1555,LAK,LAK
