,Date,Team,Goals,Assists,Points,Plusminus,PIM,PPG,PPP,SHG,SHP,GWG,OTG,Shots,TOI,Shifts,Year,season,Home,toi2,toi3,toi_seconds,opponent,opp_2
144,05-Mar,vs ARI,0,1,1,1,0,0,0,0,0,0,0,7,24:42:00,24,2018,1718,1,0:24:42,0:24:42,1482,ARI,OTHER
145,03-Mar,vs NYR,1,1,2,1,0,0,0,0,0,0,0,1,23:22,22,2018,1718,1,0:23:22,0:23:22,1402,NYR,OTHER
146,01-Mar,vs NSH,1,1,2,-1,2,0,1,0,0,0,0,2,19:08,22,2018,1718,1,0:19:08,0:19:08,1148,NSH,OTHER
147,27-Feb,@ SJS,1,0,1,-2,0,0,0,0,0,0,0,4,21:57,24,2018,1718,0,0:21:57,0:21:57,1317,SJS,OTHER
148,25-Feb,@ ANA,0,3,3,2,0,0,0,0,0,0,0,7,27:22:00,27,2018,1718,0,0:27:22,0:27:22,1642,ANA,OTHER
149,24-Feb,@ LAK,0,0,0,0,0,0,0,0,0,0,0,3,21:33,26,2018,1718,0,0:21:33,0:21:33,1293,LAK,OTHER
150,22-Feb,vs COL,1,1,2,1,0,0,0,0,0,1,1,8,23:37,24,2018,1718,1,0:23:37,0:23:37,1417,COL,OTHER
151,20-Feb,vs BOS,0,0,0,-1,0,0,0,0,0,0,0,2,19:01,20,2018,1718,1,0:19:01,0:19:01,1141,BOS,OTHER
152,18-Feb,@ COL,3,0,3,3,0,0,0,0,0,0,0,5,19:52,24,2018,1718,0,0:19:52,0:19:52,1192,COL,OTHER
153,17-Feb,@ ARI,0,0,0,-1,0,0,0,0,0,0,0,2,19:09,19,2018,1718,0,0:19:09,0:19:09,1149,ARI,OTHER
154,15-Feb,@ VGK,0,0,0,-1,2,0,0,0,0,0,0,2,18:36,21,2018,1718,0,0:18:36,0:18:36,1116,VGK,OTHER
155,12-Feb,vs FLA,1,1,2,1,0,0,0,0,0,0,0,5,21:05,24,2018,1718,1,0:21:05,0:21:05,1265,FLA,OTHER
156,10-Feb,@ SJS,0,0,0,-1,0,0,0,0,0,0,0,2,21:21,24,2018,1718,0,0:21:21,0:21:21,1281,SJS,OTHER
157,09-Feb,@ ANA,0,1,1,-1,0,0,0,0,0,0,0,3,21:06,22,2018,1718,0,0:21:06,0:21:06,1266,ANA,OTHER
158,07-Feb,@ LAK,1,1,2,-1,0,0,1,0,0,0,0,2,23:39,24,2018,1718,0,0:23:39,0:23:39,1419,LAK,OTHER
159,05-Feb,vs TBL,4,1,5,3,0,1,2,0,0,1,0,9,20:13,18,2018,1718,1,0:20:13,0:20:13,1213,TBL,OTHER
160,01-Feb,vs COL,2,0,2,1,0,0,0,0,0,0,0,4,21:33,23,2018,1718,1,0:21:33,0:21:33,1293,COL,OTHER
161,25-Jan,vs CGY,0,1,1,0,10,0,0,0,0,0,0,7,28:00:00,31,2018,1718,1,0:28:00,0:28:00,1680,CGY,CGY
162,23-Jan,vs BUF,0,0,0,-1,0,0,0,0,0,0,0,3,19:49,22,2018,1718,1,0:19:49,0:19:49,1189,BUF,OTHER
163,20-Jan,vs VAN,0,1,1,1,0,0,0,0,0,0,0,3,19:28,21,2018,1718,1,0:19:28,0:19:28,1168,VAN,VAN
164,13-Jan,@ VGK,0,2,2,0,0,0,0,0,0,0,0,4,25:23:00,30,2018,1718,0,0:25:23,0:25:23,1523,VGK,OTHER
165,12-Jan,@ ARI,0,2,2,1,0,0,0,0,0,0,0,3,21:00,22,2018,1718,0,0:21:00,0:21:00,1260,ARI,OTHER
166,09-Jan,@ NSH,1,0,1,0,0,0,0,0,0,0,0,6,24:11:00,25,2018,1718,0,0:24:11,0:24:11,1451,NSH,OTHER
167,07-Jan,@ CHI,0,0,0,0,0,0,0,0,0,0,0,6,21:07,25,2018,1718,0,0:21:07,0:21:07,1267,CHI,OTHER
168,06-Jan,@ DAL,0,1,1,0,2,0,1,0,0,0,0,4,20:03,21,2018,1718,0,0:20:03,0:20:03,1203,DAL,OTHER
169,04-Jan,vs ANA,0,1,1,1,0,0,0,0,0,0,0,5,24:04:00,30,2018,1718,1,0:24:04,0:24:04,1444,ANA,OTHER
170,02-Jan,vs LAK,0,0,0,-1,0,0,0,0,0,0,0,2,20:58,23,2018,1718,1,0:20:58,0:20:58,1258,LAK,OTHER
171,31-Dec,vs WPG,0,0,0,0,0,0,0,0,0,0,0,3,18:33,22,2017,1718,1,0:18:33,0:18:33,1113,WPG,WPG
