Date,Team,Goals,Assists,Points,Plusminus,PIM,PPG,PPP,SHG,SHP,GWG,OTG,Shots,TOI,Shifts,Year,season,Home,toi2,toi3,toi_seconds,opponent,opp_2
2024-04-02,vs PIT,0,0,0,-2,0,0,0,0,0,0,0,4,21:39,23,2024,202324,1,21:39,21:39,1299,PIT,PIT
2024-04-03,@ NYR,0,1,1,0,0,0,0,0,0,0,0,3,24:47,26,2024,202324,0,24:47,24:47,1487,NYR,NYR
2024-04-06,@ OTT,0,1,1,3,0,0,0,0,0,0,0,2,20:29,28,2024,202324,0,20:29,20:29,1229,OTT,OTT
2024-04-07,vs NSH,1,0,1,1,0,0,0,0,0,0,0,3,22:22,32,2024,202324,1,22:22,22:22,1342,NSH,NSH
2022-10-13,@ PHI,0,0,0,-2,0,0,0,0,0,0,0,1,22:54,23,2022,202223,0,22:54,22:54,1374,PHI,PHI
2022-10-15,vs DET,0,0,0,-1,0,0,0,0,0,0,0,7,23:27,24,2022,202223,1,23:27,23:27,1407,DET,DET
2022-10-18,vs ANA,0,2,2,2,0,0,0,0,0,0,0,4,20:25,23,2022,202223,1,20:25,20:25,1225,ANA,ANA
2022-10-20,@ NYI,1,0,1,1,0,0,0,0,0,0,0,7,19:29,23,2022,202223,0,19:29,19:29,1169,NYI,NYI
2022-10-22,vs SJS,0,0,0,1,0,0,0,0,0,0,0,4,21:03,24,2022,202223,1,21:03,21:03,1263,SJS,SJS
2022-10-24,vs WSH,0,0,0,-3,0,0,0,0,0,0,0,5,17:30,22,2022,202223,1,17:30,17:30,1050,WSH,WSH
2022-10-25,@ DET,1,1,2,1,0,0,0,0,0,0,0,3,16:03,21,2022,202223,0,16:03,16:03,963,DET,DET
2022-10-28,vs COL,1,0,1,0,0,1,1,0,0,1,0,1,17:46,19,2022,202223,1,17:46,17:46,1066,COL,COL
2022-10-30,vs CBJ,0,2,2,2,0,0,0,0,0,0,0,4,17:56,20,2022,202223,1,17:56,17:56,1076,CBJ,CBJ
2022-11-01,@ VAN,1,1,2,1,0,0,0,0,0,0,0,8,16:35,18,2022,202223,0,16:35,16:35,995,VAN,VAN
2022-11-03,@ EDM,0,0,0,-1,0,0,0,0,0,0,0,2,19:15,21,2022,202223,0,19:15,19:15,1155,EDM,EDM
2022-11-05,@ CGY,0,2,2,1,0,0,0,0,0,0,0,7,22:09,24,2022,202223,0,22:09,22:09,1329,CGY,CGY
2022-11-08,vs CGY,0,0,0,0,0,0,0,0,0,0,0,1,17:03,19,2022,202223,1,17:03,17:03,1023,CGY,CGY
2022-11-10,vs OTT,0,2,2,0,2,0,0,0,0,0,0,4,21:10,24,2022,202223,1,21:10,21:10,1270,OTT,OTT
2022-11-12,vs ARI,1,0,1,1,0,0,0,0,0,0,0,5,19:22,24,2022,202223,1,19:22,19:22,1162,ARI,ARI
2022-11-15,@ MTL,2,1,3,2,0,1,1,0,0,0,0,7,16:41,23,2022,202223,0,16:41,16:41,1001,MTL,MTL
2022-11-17,@ TOR,0,1,1,2,0,0,0,0,0,0,0,6,18:25,22,2022,202223,0,18:25,18:25,1105,TOR,TOR
2022-11-19,@ OTT,0,0,0,0,0,0,0,0,0,0,0,1,18:44,21,2022,202223,0,18:44,18:44,1124,OTT,OTT
2022-11-21,vs EDM,0,2,2,0,0,0,0,0,0,0,0,2,18:12,19,2022,202223,1,18:12,18:12,1092,EDM,EDM
2022-11-23,vs TOR,0,0,0,0,0,0,0,0,0,0,0,4,21:20,21,2022,202223,1,21:20,21:20,1280,TOR,TOR
2022-11-25,@ BUF,1,0,1,0,0,0,0,0,0,0,0,5,16:47,21,2022,202223,0,16:47,16:47,1007,BUF,BUF
2022-11-26,vs WSH,3,0,3,3,0,0,0,0,0,1,0,4,17:02,22,2022,202223,1,17:02,17:02,1022,WSH,WSH
2022-11-28,@ NYR,1,0,1,0,0,0,0,0,0,0,0,8,17:52,19,2022,202223,0,17:52,17:52,1072,NYR,NYR
2022-12-01,vs NSH,0,2,2,0,0,0,0,0,0,0,0,1,18:20,21,2022,202223,1,18:20,18:20,1100,NSH,NSH
2022-12-03,@ PHI,1,0,1,1,0,0,0,0,0,1,0,2,19:41,23,2022,202223,0,19:41,19:41,1181,PHI,PHI
2022-12-06,vs CHI,0,2,2,1,0,0,0,0,0,0,0,1,17:33,20,2022,202223,1,17:33,17:33,1053,CHI,CHI
2022-12-09,vs NYI,1,1,2,-1,0,0,0,0,0,0,0,2,26:13,25,2022,202223,1,26:13,26:13,1573,NYI,NYI
2022-12-12,@ NYR,1,0,1,0,0,0,0,0,0,0,0,7,22:01,25,2022,202223,0,22:01,22:01,1321,NYR,NYR
2022-12-13,vs DAL,0,0,0,-1,0,0,0,0,0,0,0,2,20:21,21,2022,202223,1,20:21,20:21,1221,DAL,DAL
2022-12-15,vs PHI,1,0,1,0,0,1,1,0,0,0,0,8,20:00,19,2022,202223,1,20:00,20:00,1200,PHI,PHI
2022-12-17,vs FLA,0,1,1,0,0,0,0,0,0,0,0,2,25:29,20,2022,202223,1,25:29,25:29,1529,FLA,FLA
2022-12-20,@ CAR,1,0,1,0,0,0,0,0,0,0,0,7,21:43,21,2022,202223,0,21:43,21:43,1303,CAR,CAR
2022-12-21,@ FLA,0,1,1,1,0,0,0,0,0,0,0,4,24:06,26,2022,202223,0,24:06,24:06,1446,FLA,FLA
2022-12-23,vs BOS,1,0,1,0,0,1,1,0,0,0,0,5,19:17,25,2022,202223,1,19:17,19:17,1157,BOS,BOS
2022-12-28,vs BOS,0,0,0,-1,0,0,0,0,0,0,0,6,21:12,26,2022,202223,1,21:12,21:12,1272,BOS,BOS
2022-12-30,@ PIT,2,0,2,1,0,1,1,0,0,0,0,6,20:22,23,2022,202223,0,20:22,20:22,1222,PIT,PIT
2023-01-01,vs CAR,1,0,1,0,0,0,0,0,0,0,0,6,22:22,28,2023,202223,1,22:22,22:22,1342,CAR,CAR
2023-01-04,@ DET,1,1,2,1,0,0,0,0,0,0,0,6,18:51,21,2023,202223,0,18:51,18:51,1131,DET,DET
2023-01-05,vs STL,2,0,2,0,0,0,0,0,0,0,0,9,23:50,23,2023,202223,1,23:50,23:50,1430,STL,STL
2023-01-07,vs NYR,2,1,3,2,0,0,0,0,0,0,0,10,22:58,27,2023,202223,1,22:58,22:58,1378,NYR,NYR
2023-01-10,@ CAR,0,0,0,0,0,0,0,0,0,0,0,3,19:08,21,2023,202223,0,19:08,19:08,1148,CAR,CAR
2023-01-13,@ ANA,2,1,3,1,0,1,1,0,0,1,0,3,14:45,20,2023,202223,0,14:45,14:45,885,ANA,ANA
2023-01-14,@ LAK,0,2,2,1,0,0,0,0,0,0,0,2,19:20,22,2023,202223,0,19:20,19:20,1160,LAK,LAK
2023-01-16,@ SJS,1,0,1,0,2,0,0,0,0,0,0,7,25:47,29,2023,202223,0,25:47,25:47,1547,SJS,SJS
2023-01-19,@ SEA,0,1,1,-2,0,0,0,0,0,0,0,5,22:13,24,2023,202223,0,22:13,22:13,1333,SEA,SEA
2023-01-22,vs PIT,1,1,2,0,0,0,0,0,0,0,0,3,21:43,26,2023,202223,1,21:43,21:43,1303,PIT,PIT
2023-01-24,vs VEG,0,2,2,0,0,0,0,0,0,0,0,4,22:14,24,2023,202223,1,22:14,22:14,1334,VEG,VEG
2023-01-26,@ NSH,1,1,2,0,0,0,0,0,0,0,0,5,20:26,24,2023,202223,0,20:26,20:26,1226,NSH,NSH
2023-01-27,@ DAL,2,0,2,2,0,0,0,0,0,1,0,4,19:31,23,2023,202223,0,19:31,19:31,1171,DAL,DAL
2023-02-06,vs VAN,2,1,3,-1,0,0,0,0,0,0,0,9,21:44,23,2023,202223,1,21:44,21:44,1304,VAN,VAN
2023-02-18,@ PIT,0,2,2,0,0,0,0,0,0,0,0,3,17:30,21,2023,202223,0,17:30,17:30,1050,PIT,PIT
2023-02-19,vs WPG,0,0,0,-1,0,0,0,0,0,0,0,5,19:08,19,2023,202223,1,19:08,19:08,1148,WPG,WPG
2023-02-21,vs MTL,0,2,2,-2,0,0,0,0,0,0,0,4,20:30,23,2023,202223,1,20:30,20:30,1230,MTL,MTL
2023-02-23,vs LAK,0,1,1,0,0,0,0,0,0,0,0,5,22:50,25,2023,202223,1,22:50,22:50,1370,LAK,LAK
2023-02-25,vs PHI,1,1,2,2,0,0,0,0,0,0,0,4,16:43,17,2023,202223,1,16:43,16:43,1003,PHI,PHI
2023-03-01,@ COL,0,0,0,-1,0,0,0,0,0,0,0,1,15:57,22,2023,202223,0,15:57,15:57,957,COL,COL
2023-03-03,@ VEG,0,1,1,-2,0,0,0,0,0,0,0,6,21:52,26,2023,202223,0,21:52,21:52,1312,VEG,VEG
2023-03-05,@ ARI,0,1,1,-1,0,0,0,0,0,0,0,3,18:02,22,2023,202223,0,18:02,18:02,1082,ARI,ARI
2023-03-07,vs TOR,0,0,0,-2,0,0,0,0,0,0,0,6,22:53,23,2023,202223,1,22:53,22:53,1373,TOR,TOR
2023-03-09,@ WSH,0,0,0,0,0,0,0,0,0,0,0,5,22:56,24,2023,202223,0,22:56,22:56,1376,WSH,WSH
2023-03-11,@ MTL,0,0,0,0,0,0,0,0,0,0,0,0,18:48,19,2023,202223,0,18:48,18:48,1128,MTL,MTL
2023-03-12,vs CAR,1,2,3,3,0,0,0,0,0,1,0,4,16:46,20,2023,202223,1,16:46,16:46,1006,CAR,CAR
2023-03-14,vs TBL,0,1,1,-2,0,0,0,0,0,0,0,2,19:00,20,2023,202223,1,19:00,19:00,1140,TBL,TBL
2023-03-16,vs TBL,0,1,1,0,0,0,0,0,0,0,0,6,24:38,27,2023,202223,1,24:38,24:38,1478,TBL,TBL
2023-03-18,@ FLA,0,0,0,-1,0,0,0,0,0,0,0,4,19:25,20,2023,202223,0,19:25,19:25,1165,FLA,FLA
2023-03-19,@ TBL,0,0,0,0,0,0,0,0,0,0,0,3,16:02,18,2023,202223,0,16:02,16:02,962,TBL,TBL
2023-03-21,vs MIN,0,0,0,-1,0,0,0,0,0,0,0,10,23:32,24,2023,202223,1,23:32,23:32,1412,MIN,MIN
2023-03-24,@ BUF,2,1,3,-1,0,1,1,0,0,0,0,4,20:08,22,2023,202223,0,20:08,20:08,1208,BUF,BUF
2023-03-25,vs OTT,1,1,2,2,0,1,1,0,0,0,0,6,19:11,25,2023,202223,1,19:11,19:11,1151,OTT,OTT
2023-03-27,@ NYI,0,0,0,-3,2,0,0,0,0,0,0,4,22:01,24,2023,202223,0,22:01,22:01,1321,NYI,NYI
2023-03-30,vs NYR,0,1,1,0,0,0,0,0,0,0,0,3,17:25,18,2023,202223,1,17:25,17:25,1045,NYR,NYR
2023-04-01,@ CHI,0,2,2,2,0,0,0,0,0,0,0,2,17:42,22,2023,202223,0,17:42,17:42,1062,CHI,CHI
2023-04-02,@ WPG,0,1,1,0,0,0,0,0,0,0,0,2,20:37,21,2023,202223,0,20:37,20:37,1237,WPG,WPG
2023-04-04,vs PIT,0,1,1,1,0,0,0,0,0,0,0,4,17:07,20,2023,202223,1,17:07,17:07,1027,PIT,PIT
2023-04-06,vs CBJ,2,2,4,1,0,1,1,0,0,0,0,3,14:26,18,2023,202223,1,14:26,14:26,866,CBJ,CBJ
2023-04-08,@ BOS,0,1,1,0,0,0,0,0,0,0,0,1,22:56,27,2023,202223,0,22:56,22:56,1376,BOS,BOS
2023-04-11,vs BUF,1,0,1,1,0,0,0,0,0,0,0,2,19:58,23,2023,202223,1,19:58,19:58,1198,BUF,BUF
2023-04-13,@ WSH,0,2,2,0,0,0,0,0,0,0,0,5,20:58,23,2023,202223,0,20:58,20:58,1258,WSH,WSH
2021-10-15,vs CHI,2,0,2,1,0,0,0,0,0,1,0,3,18:31,22,2021,202122,1,18:31,18:31,1111,CHI,CHI
2021-10-19,vs SEA,0,1,1,1,0,0,0,0,0,0,0,1,7:42,10,2021,202122,1,7:42,7:42,462,SEA,SEA
2021-11-30,vs SJS,0,0,0,0,0,0,0,0,0,0,0,1,17:31,21,2021,202122,1,17:31,17:31,1051,SJS,SJS
2021-12-02,@ MIN,0,0,0,0,0,0,0,0,0,0,0,1,17:46,20,2021,202122,0,17:46,17:46,1066,MIN,MIN
2021-12-03,@ WPG,1,0,1,-2,0,0,0,0,0,0,0,1,14:44,18,2021,202122,0,14:44,14:44,884,WPG,WPG
2021-12-06,vs OTT,0,0,0,0,0,0,0,0,0,0,0,2,17:48,21,2021,202122,1,17:48,17:48,1068,OTT,OTT
2021-12-08,vs PHI,0,1,1,1,0,0,0,0,0,0,0,1,18:12,23,2021,202122,1,18:12,18:12,1092,PHI,PHI
2021-12-10,vs NSH,0,1,1,1,0,0,0,0,0,0,0,3,20:51,23,2021,202122,1,20:51,20:51,1251,NSH,NSH
2021-12-11,@ NYI,1,0,1,-1,0,0,0,0,0,0,0,3,25:17,26,2021,202122,0,25:17,25:17,1517,NYI,NYI
2021-12-14,@ PHI,0,0,0,-4,0,0,0,0,0,0,0,2,17:05,19,2021,202122,0,17:05,17:05,1025,PHI,PHI
2021-12-16,vs VEG,1,0,1,-1,0,0,0,0,0,0,0,4,18:38,22,2021,202122,1,18:38,18:38,1118,VEG,VEG
2021-12-18,@ DET,0,0,0,-4,0,0,0,0,0,0,0,4,20:45,24,2021,202122,0,20:45,20:45,1245,DET,DET
2021-12-19,vs PIT,0,0,0,-1,0,0,0,0,0,0,0,1,18:32,21,2021,202122,1,18:32,18:32,1112,PIT,PIT
2021-12-29,@ BUF,1,2,3,3,0,0,0,0,0,0,0,6,17:52,21,2021,202122,0,17:52,17:52,1072,BUF,BUF
2021-12-31,vs EDM,2,1,3,0,0,1,1,0,0,1,0,7,19:40,27,2021,202122,1,19:40,19:40,1180,EDM,EDM
2022-01-02,@ WSH,0,2,2,2,0,0,0,0,0,0,0,1,20:17,24,2022,202122,0,20:17,20:17,1217,WSH,WSH
2022-01-04,@ BOS,0,1,1,0,0,0,0,0,0,0,0,4,20:10,27,2022,202122,0,20:10,20:10,1210,BOS,BOS
2022-01-06,vs CBJ,1,2,3,2,0,0,0,0,0,0,0,3,19:00,24,2022,202122,1,19:00,19:00,1140,CBJ,CBJ
2022-01-08,@ CBJ,0,0,0,-1,0,0,0,0,0,0,0,5,25:43,27,2022,202122,0,25:43,25:43,1543,CBJ,CBJ
