Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
24,2022-12-06,24,24-360,FLA,@,WPG,L,0,1,1,-1,2,0,0,0,0,0,1,0,2,0.0,24,20:37,0,0,0,0,
25,2022-12-08,25,24-362,FLA,,DET,W,1,1,2,2,0,1,0,0,0,1,0,0,2,50.0,19,17:04,0,0,1,0,100.0
26,2022-12-10,26,24-364,FLA,@,TBL,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,21,19:25,1,0,0,0,
27,2022-12-11,27,25-000,FLA,,SEA,L,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,21,17:51,1,0,0,1,0.0
28,2022-12-13,28,25-002,FLA,,CBJ,W,1,1,2,4,4,1,0,0,0,1,0,0,3,33.3,21,19:12,0,1,0,1,0.0
29,2022-12-17,29,25-006,FLA,@,NJD,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,24,19:03,2,1,0,0,
30,2022-12-19,30,25-008,FLA,@,BOS,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,24,20:58,0,0,0,0,
31,2022-12-21,31,25-010,FLA,,NJD,L,0,0,0,-1,12,0,0,0,0,0,0,0,4,0.0,21,19:39,0,1,0,0,
32,2022-12-23,32,25-012,FLA,@,NYI,L,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,22,16:40,1,0,1,1,50.0
33,2022-12-29,33,25-018,FLA,,MTL,W,2,1,3,1,0,0,2,0,0,0,1,0,9,22.2,17,17:24,0,1,0,0,
34,2022-12-30,34,25-019,FLA,@,CAR,L,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,22,19:52,1,0,0,0,
35,2023-01-01,35,25-021,FLA,,NYR,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,19:39,0,0,0,0,
36,2023-01-03,36,25-023,FLA,,ARI,W,3,1,4,2,2,2,1,0,0,1,0,0,6,50.0,25,21:27,0,0,0,0,
37,2023-01-06,37,25-026,FLA,@,DET,W,0,1,1,-1,0,0,0,0,0,0,1,0,1,0.0,20,19:27,0,1,0,0,
38,2023-01-08,38,25-028,FLA,@,DAL,L,0,1,1,-1,0,0,0,0,0,1,0,0,3,0.0,23,20:50,0,1,0,0,
39,2023-01-10,39,25-030,FLA,@,COL,W,2,0,2,-1,0,1,1,0,1,0,0,0,7,28.6,25,18:32,1,0,0,0,
40,2023-01-12,40,25-032,FLA,@,VEG,L,0,1,1,0,2,0,0,0,0,0,1,0,4,0.0,20,17:23,3,0,0,0,
41,2023-01-14,41,25-034,FLA,,VAN,W,0,1,1,0,2,0,0,0,0,0,1,0,3,0.0,21,19:45,1,0,0,0,
42,2023-01-16,42,25-036,FLA,@,BUF,W,0,3,3,3,2,0,0,0,0,3,0,0,3,0.0,23,17:39,0,2,0,1,0.0
43,2023-01-17,43,25-037,FLA,@,TOR,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,24,20:36,0,1,0,0,
44,2023-01-19,44,25-039,FLA,@,MTL,W,2,0,2,0,5,0,2,0,1,0,0,0,9,22.2,20,23:26,0,2,0,0,
45,2023-01-21,45,25-041,FLA,,MIN,W,0,1,1,-1,0,0,0,0,0,0,1,0,3,0.0,19,16:21,1,0,0,0,
