Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
33,2022-12-23,33,29-284,VAN,@,EDM,W,2,0,2,1,0,1,1,0,0,0,0,0,5,40.0,27,22:27,1,2,9,7,56.3
34,2022-12-27,34,29-288,VAN,,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,23,17:05,3,0,7,10,41.2
35,2022-12-29,35,29-290,VAN,@,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,5,0.0,24,19:04,1,1,8,5,61.5
36,2022-12-31,36,29-292,VAN,@,CGY,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,23,19:17,2,0,1,3,25.0
37,2023-01-03,37,29-295,VAN,,NYI,L,0,1,1,-2,2,0,0,0,0,0,1,0,3,0.0,21,18:00,1,0,10,3,76.9
38,2023-01-05,38,29-297,VAN,,COL,W,1,0,1,2,0,1,0,0,0,0,0,0,3,33.3,29,21:34,1,1,0,0,
39,2023-01-08,39,29-300,VAN,@,WPG,L,1,2,3,-1,0,1,0,0,0,1,1,0,2,50.0,23,19:51,2,0,0,1,0.0
40,2023-01-10,40,29-302,VAN,@,PIT,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,24,20:47,4,1,1,2,33.3
41,2023-01-12,41,29-304,VAN,@,TBL,L,1,1,2,1,0,0,1,0,0,1,0,0,4,25.0,25,20:09,0,0,1,0,100.0
42,2023-01-14,42,29-306,VAN,@,FLA,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,22,21:37,1,0,0,0,
43,2023-01-15,43,29-307,VAN,@,CAR,W,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,23,21:32,1,2,1,0,100.0
44,2023-01-18,44,29-310,VAN,,TBL,L,0,2,2,-1,0,0,0,0,0,0,2,0,5,0.0,21,24:15,1,1,0,1,0.0
45,2023-01-20,45,29-312,VAN,,COL,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,21,20:22,1,0,2,1,66.7
46,2023-01-21,46,29-313,VAN,,EDM,L,1,0,1,-1,0,1,0,0,0,0,0,0,1,100.0,21,19:20,1,0,0,0,
47,2023-01-24,47,29-316,VAN,,CHI,W,0,1,1,2,0,0,0,0,0,1,0,0,5,0.0,21,19:16,2,1,4,3,57.1
48,2023-01-25,48,29-317,VAN,@,SEA,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,21,16:30,1,0,3,6,33.3
49,2023-01-27,49,29-319,VAN,,CBJ,W,0,2,2,0,2,0,0,0,0,0,2,0,7,0.0,27,18:49,3,0,8,2,80.0
50,2023-02-06,50,29-329,VAN,@,NJD,L-OT,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,31,21:21,1,1,11,9,55.0
51,2023-02-08,51,29-331,VAN,@,NYR,L,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,25,18:42,2,2,10,6,62.5
52,2023-02-09,52,29-332,VAN,@,NYI,W,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,25,22:54,2,3,10,9,52.6
53,2023-02-11,53,29-334,VAN,@,DET,L,0,1,1,-1,4,0,0,0,0,0,1,0,5,0.0,25,16:24,1,0,14,11,56.0
54,2023-02-13,54,29-336,VAN,,DET,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,23,19:28,1,0,8,8,50.0
55,2023-02-15,55,29-338,VAN,,NYR,L,1,0,1,-3,0,0,1,0,0,0,0,0,3,33.3,30,19:36,3,2,12,10,54.5
56,2023-02-18,56,29-341,VAN,,PHI,W,0,2,2,2,0,0,0,0,0,0,0,2,3,0.0,27,19:24,4,1,14,6,70.0
57,2023-02-21,57,29-344,VAN,@,NSH,L-SO,0,1,1,0,0,0,0,0,0,1,0,0,4,0.0,31,25:58,4,1,12,11,52.2
58,2023-02-23,58,29-346,VAN,@,STL,W,1,1,2,1,0,0,0,1,0,1,0,0,5,20.0,29,24:35,0,0,13,10,56.5
59,2023-02-25,59,29-348,VAN,,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,25,18:37,3,0,5,9,35.7
60,2023-03-02,60,29-353,VAN,,MIN,L,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,26,20:29,1,0,11,9,55.0
61,2023-03-04,61,29-355,VAN,,TOR,W,1,1,2,2,0,0,0,1,0,0,0,1,5,20.0,31,20:32,5,1,10,8,55.6
62,2023-03-06,62,29-357,VAN,,NSH,W,0,0,0,0,7,0,0,0,0,0,0,0,3,0.0,26,21:36,7,2,15,7,68.2
63,2023-03-08,63,29-359,VAN,,ANA,W,2,0,2,1,0,1,0,1,1,0,0,0,4,50.0,26,20:18,4,1,12,3,80.0
64,2023-03-11,64,29-362,VAN,,OTT,W,1,1,2,2,0,0,0,1,0,1,0,0,2,50.0,24,22:22,5,0,20,13,60.6
65,2023-03-14,65,30-000,VAN,,DAL,W,1,1,2,2,2,1,0,0,0,1,0,0,3,33.3,24,18:46,5,0,5,6,45.5
66,2023-03-16,66,30-002,VAN,@,ARI,L,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,24,22:46,2,1,11,12,47.8
67,2023-03-18,67,30-004,VAN,@,LAK,W,0,2,2,0,0,0,0,0,0,1,1,0,1,0.0,30,21:52,4,0,8,10,44.4
68,2023-03-19,68,30-005,VAN,@,ANA,W,1,1,2,0,0,1,0,0,0,0,1,0,4,25.0,24,18:22,0,1,14,8,63.6
69,2023-03-21,69,30-007,VAN,,VEG,L,2,1,3,1,0,0,1,1,0,1,0,0,3,66.7,25,22:47,5,0,8,10,44.4
70,2023-03-23,70,30-009,VAN,,SJS,W,1,1,2,1,0,1,0,0,0,1,0,0,2,50.0,21,20:06,2,0,7,11,38.9
71,2023-03-25,71,30-011,VAN,@,DAL,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,29,22:08,4,1,15,10,60.0
72,2023-03-26,72,30-012,VAN,@,CHI,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,28,17:47,2,0,13,4,76.5
73,2023-03-28,73,30-014,VAN,@,STL,L-OT,0,2,2,-1,0,0,0,0,0,1,1,0,2,0.0,27,22:12,3,0,18,13,58.1
74,2023-03-31,74,30-017,VAN,,CGY,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,35,22:42,4,3,13,14,48.1
75,2023-04-02,75,30-019,VAN,,LAK,L,0,1,1,-1,0,0,0,0,0,1,0,0,4,0.0,28,25:04,6,0,11,11,50.0
76,2023-04-04,76,30-021,VAN,,SEA,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,26,23:06,5,0,14,11,56.0
